Year,YearMonth,ProductID,Name,CategoryName,SubcategoryName,Revenue,UnitsSold,Orders
2020,2020-01,1,Eco Formal Wear,Fashion & Apparel,Formal Wear,505.28,32,9
2020,2020-01,2,Portable Outerwear,Fashion & Apparel,Outerwear,1243.0,11,2
2020,2020-01,3,Deluxe Accessories,Fashion & Apparel,Accessories,5687.64,36,8
2020,2020-01,4,Ultra Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,3947.76,24,7
2020,2020-01,5,Deluxe Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,5021.73,27,8
2020,2020-01,6,Pro T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,11717.38,62,14
2020,2020-01,7,Premium Outerwear,Fashion & Apparel,Outerwear,3156.59,41,12
2020,2020-01,8,Deluxe Activewear,Fashion & Apparel,Activewear,1792.44,36,9
2020,2020-01,9,Eco Activewear,Fashion & Apparel,Activewear,1147.0,31,9
2020,2020-01,10,Eco Accessories,Fashion & Apparel,Accessories,1372.41,9,4
2020,2020-01,11,Pro Activewear,Fashion & Apparel,Activewear,1967.88,12,4
2020,2020-01,12,Pro Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,217.9,10,3
2020,2020-01,13,Classic Accessories,Fashion & Apparel,Accessories,2096.82,18,5
2020,2020-01,14,Advanced Swimwear,Fashion & Apparel,Swimwear,223.47,3,1
2020,2020-01,15,Eco Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1999.68,32,7
2020,2020-01,16,Pro Accessories,Fashion & Apparel,Accessories,2539.8,20,6
2020,2020-01,17,Advanced Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2303.82,18,6
2020,2020-01,18,Advanced Outerwear,Fashion & Apparel,Outerwear,4692.33,27,8
2020,2020-01,19,Ultra T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2615.8,20,5
2020,2020-01,20,Classic Accessories,Fashion & Apparel,Accessories,2365.86,14,3
2020,2020-01,21,Advanced Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1230.0,41,11
2020,2020-01,22,Ultra Swimwear,Fashion & Apparel,Swimwear,2788.24,56,9
2020,2020-01,23,Premium Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3542.0,22,6
2020,2020-01,24,Eco Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1117.38,22,6
2020,2020-01,25,Ultra Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1423.84,16,7
2020,2020-01,26,Eco Swimwear,Fashion & Apparel,Swimwear,2828.77,23,7
2020,2020-01,27,Compact Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,644.7,30,9
2020,2020-01,28,Advanced Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3886.12,28,6
2020,2020-01,29,Deluxe T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,5700.0,30,10
2020,2020-01,30,Deluxe Swimwear,Fashion & Apparel,Swimwear,1950.0,13,3
2020,2020-01,31,Advanced Swimwear,Fashion & Apparel,Swimwear,6483.97,43,13
2020,2020-01,32,Advanced Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4768.0,32,7
2020,2020-01,33,Premium Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,5108.74,26,7
2020,2020-01,34,Compact Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1113.33,17,7
2020,2020-01,36,Compact Swimwear,Fashion & Apparel,Swimwear,945.89,11,3
2020,2020-01,37,Classic Swimwear,Fashion & Apparel,Swimwear,477.9,10,3
2020,2020-01,38,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,4572.0,36,10
2020,2020-01,39,Portable Accessories,Fashion & Apparel,Accessories,2721.33,27,6
2020,2020-01,40,Deluxe Activewear,Fashion & Apparel,Activewear,2691.0,39,12
2020,2020-01,41,Advanced Accessories,Fashion & Apparel,Accessories,3045.33,27,9
2020,2020-01,42,Premium Accessories,Fashion & Apparel,Accessories,4684.86,34,6
2020,2020-01,43,Premium Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2267.79,21,6
2020,2020-01,44,Classic Activewear,Fashion & Apparel,Activewear,3180.0,30,8
2020,2020-01,45,Ultra Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1908.77,23,8
2020,2020-01,46,Compact Accessories,Fashion & Apparel,Accessories,2204.0,19,6
2020,2020-01,47,Pro Swimwear,Fashion & Apparel,Swimwear,1619.82,18,5
2020,2020-01,48,Portable Activewear,Fashion & Apparel,Activewear,8105.58,42,10
2020,2020-01,49,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1116.0,12,6
2020,2020-01,50,Ultra Swimwear,Fashion & Apparel,Swimwear,3388.0,28,6
2020,2020-01,51,Ultra Swimwear,Fashion & Apparel,Swimwear,1792.35,15,5
2020,2020-01,52,Eco Outerwear,Fashion & Apparel,Outerwear,3662.25,25,6
2020,2020-01,53,Premium Formal Wear,Fashion & Apparel,Formal Wear,1601.88,12,5
2020,2020-01,54,Portable Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,409.28,32,9
2020,2020-01,55,Ultra T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,5586.0,38,7
2020,2020-01,56,Ultra Outerwear,Fashion & Apparel,Outerwear,6621.56,44,8
2020,2020-01,57,Eco Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2705.78,22,4
2020,2020-01,58,Pro Activewear,Fashion & Apparel,Activewear,1164.64,16,5
2020,2020-01,59,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,589.0,19,8
2020,2020-01,60,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2111.68,32,8
2020,2020-01,61,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1100.0,25,8
2020,2020-01,62,Compact Formal Wear,Fashion & Apparel,Formal Wear,3835.72,28,6
2020,2020-01,63,Classic Swimwear,Fashion & Apparel,Swimwear,4769.7,30,9
2020,2020-01,64,Eco Activewear,Fashion & Apparel,Activewear,2998.59,21,4
2020,2020-01,65,Eco Swimwear,Fashion & Apparel,Swimwear,3365.67,33,8
2020,2020-01,66,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,4042.74,26,8
2020,2020-01,67,Classic Accessories,Fashion & Apparel,Accessories,8315.55,45,9
2020,2020-01,68,Premium Outerwear,Fashion & Apparel,Outerwear,3886.74,26,6
2020,2020-01,69,Classic Outerwear,Fashion & Apparel,Outerwear,2784.0,24,6
2020,2020-01,70,Compact Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2141.72,28,8
2020,2020-01,71,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,839.27,23,8
2020,2020-01,72,Ultra Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4675.72,28,7
2020,2020-01,73,Portable Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,332.31,19,6
2020,2020-01,74,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,884.85,15,6
2020,2020-01,75,Portable Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,5090.54,26,7
2020,2020-01,76,Ultra Outerwear,Fashion & Apparel,Outerwear,1055.8,20,6
2020,2020-01,77,Advanced Outerwear,Fashion & Apparel,Outerwear,4373.64,36,9
2020,2020-01,78,Advanced Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,3249.75,25,6
2020,2020-01,79,Eco Swimwear,Fashion & Apparel,Swimwear,415.59,21,6
2020,2020-01,80,Advanced Outerwear,Fashion & Apparel,Outerwear,402.74,26,8
2020,2020-01,81,Portable Formal Wear,Fashion & Apparel,Formal Wear,2314.01,19,5
2020,2020-01,82,Premium Accessories,Fashion & Apparel,Accessories,6957.65,35,6
2020,2020-01,83,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2917.35,15,5
2020,2020-01,84,Eco Activewear,Fashion & Apparel,Activewear,819.39,11,3
2020,2020-01,85,Eco Activewear,Fashion & Apparel,Activewear,3074.07,43,10
2020,2020-01,86,Advanced Activewear,Fashion & Apparel,Activewear,1276.59,21,8
2020,2020-01,87,Deluxe Swimwear,Fashion & Apparel,Swimwear,2789.85,15,5
2020,2020-01,88,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,93.0,3,1
2020,2020-01,89,Classic Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,199.31,19,7
2020,2020-01,90,Portable T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,610.74,26,9
2020,2020-01,91,Pro T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,1552.0,16,3
2020,2020-01,92,Portable Outerwear,Fashion & Apparel,Outerwear,4009.17,33,8
2020,2020-01,93,Portable Swimwear,Fashion & Apparel,Swimwear,2784.0,32,7
2020,2020-01,94,Classic Activewear,Fashion & Apparel,Activewear,4071.0,23,7
2020,2020-01,95,Deluxe Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2052.0,19,4
2020,2020-01,96,Advanced Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,495.0,11,3
2020,2020-01,97,Premium Swimwear,Fashion & Apparel,Swimwear,908.64,16,6
2020,2020-01,98,Compact Swimwear,Fashion & Apparel,Swimwear,836.73,27,8
2020,2020-01,99,Pro Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1246.02,38,11
2020,2020-01,100,Deluxe Accessories,Fashion & Apparel,Accessories,538.86,14,4
